Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,HDFC BANK LTD,Finance - Banks - Private Sector,Equity,1725000.0,7.32,335.4953,
Crores,ICICI BANK LTD,Financials,Equity,2125000.0,6.7,307.2325,
Crores,RELIANCE INDUSTRIES LTD,Energy,Equity,1350000.0,4.19,191.8215,
Crores,INFOSYS LTD,Information Technology,Equity,1160000.0,3.96,181.2732,
Crores,STATE BANK OF INDIA,Financials,Equity,2175000.0,3.86,176.6753,
Crores,BHARTI AIRTEL LTD,Communication Services,Equity,940000.0,3.81,174.4828,
Crores,AXIS BANK LTD,Financials,Equity,1300000.0,3.38,154.986,
Crores,REPO,,CBLO/Reverse Repo,0.0,3.22,147.4955,
Crores,LARSEN & TOUBRO LTD,Industrials,Equity,352147.0,2.82,129.4175,
Crores,NTPC LTD,Utilities,Equity,3451000.0,2.51,115.2289,
Crores,SAMVARDHANA MOTHERSON INTERNATIONAL LTD,Consumer Discretionary,Equity,6800000.0,2.27,104.1216,
Crores,CASH / NET CURRENT ASSET,,Cash,0.0,2.21,100.0331,
Crores,BAJAJ FINANCE LTD,Financials,Equity,107000.0,2.14,98.2314,
Crores,V-MART RETAIL LTD,Consumer Discretionary,Equity,256867.0,1.91,87.417,
Crores,PRICOL LTD,Consumer Discretionary,Equity,1930297.0,1.89,86.8151,
Crores,HCL TECHNOLOGIES LTD,Information Technology,Equity,510000.0,1.82,83.4666,
Crores,SUN PHARMACEUTICAL INDUSTRIES LTD,Health Care,Equity,475000.0,1.74,79.686,
Crores,ULTRATECH CEMENT LTD,Materials,Equity,70000.0,1.71,78.47,
Crores,CUMMINS INDIA LTD,Industrials,Equity,230000.0,1.64,75.1663,
Crores,FEDERAL BANK LTD,Financials,Equity,3600000.0,1.59,72.7416,
Crores,SBI CARDS AND PAYMENT SERVICES LTD,Non-Banking Financial Company (NBFC),Equity,787598.0,1.58,72.5417,
Crores,GRAVITA INDIA LTD,Materials,Equity,391273.0,1.56,71.599,
Crores,ICICI LOMBARD GENERAL INSURANCE CO. LTD,Financials,Equity,375000.0,1.53,70.3275,
Crores,CITY UNION BANK LTD,Financials,Equity,3300000.0,1.41,64.581,
Crores,UTI ASSET MANAGEMENT COMPANY LTD,Finance - Mutual Funds,Equity,505000.0,1.31,60.1051,
Crores,CIPLA LTD,Health Care,Equity,400000.0,1.28,58.628,
Crores,AMI ORGANICS LTD,Pharmaceuticals,Equity,494420.0,1.27,58.1586,
Crores,COAL INDIA LTD,Materials,Equity,1450000.0,1.26,57.6085,
Crores,BRIGADE ENTERPRISES LTD,Real Estate,Equity,526000.0,1.26,57.5654,
Crores,PI INDUSTRIES LTD,Materials,Equity,150000.0,1.25,57.3555,
Crores,HINDALCO INDUSTRIES LTD,Materials,Equity,900000.0,1.24,57.015,
Crores,ANANT RAJ LTD,Real Estate,Equity,1013513.0,1.24,56.8783,
Crores,AMBUJA CEMENTS LTD,Materials,Equity,1000000.0,1.21,55.35,
Crores,TATA MOTORS LTD,Consumer Discretionary,Equity,765000.0,1.2,55.0418,
Crores,BHARAT ELECTRONICS LTD,Information Technology,Equity,1425000.0,1.2,54.8055,
Crores,SBI LIFE INSURANCE COMPANY LTD,Financials,Equity,300000.0,1.19,54.366,
Crores,SHRIRAM PISTONS & RINGS LTD,Consumer Discretionary,Equity,220000.0,1.19,54.3158,
Crores,GRAPHITE INDIA LTD,Industrials,Equity,1000000.0,1.19,54.615,
Crores,KEI INDUSTRIES  LTD,Industrials,Equity,144998.0,1.14,52.3472,
Crores,POWER FINANCE CORPORATION  LTD,Financials,Equity,1275000.0,1.13,51.7586,
Crores,TRANSRAIL LIGHTING LTD,Power - Transmission/Equipment,Equity,803831.0,1.07,48.9171,
Crores,RESTAURANT BRANDS ASIA LTD,"Hotels, Resorts & Restaurants",Equity,5983000.0,1.06,48.6418,
Crores,FLAIR WRITING INDUSTRIES LTD,Printing/Publishing/Stationery,Equity,1732793.0,1.05,48.2773,
Crores,JUBILANT FOODWORKS LTD,"Hotels, Resorts & Restaurants",Equity,725000.0,1.04,47.5274,
Crores,REC LTD,Financials,Equity,1155000.0,1.01,46.4657,
Crores,RADICO KHAITAN LTD,Consumer Staples,Equity,180000.0,0.99,45.5904,
Crores,UNO MINDA LTD,Consumer Discretionary,Equity,440714.0,0.97,44.3645,
Crores,KIRLOSKAR PNEUMATIC COMPANY LTD,Industrials,Equity,343014.0,0.94,43.0071,
