Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,HDFC Bank Limited,Finance - Banks - Private Sector,Equity,1703965.0,13.18,341.0486,
Crores,ICICI Bank Limited,Financials,Equity,1592950.0,8.9,230.3087,
Crores,Reliance Industries Limited,Energy,Equity,1514084.0,8.78,227.2034,
Crores,Infosys Limited,Information Technology,Equity,804975.0,4.98,128.9409,
Crores,Bharti Airtel Limited,Communication Services,Equity,609111.0,4.73,122.4069,
Crores,Larsen & Toubro Limited,Industrials,Equity,262405.0,3.72,96.2974,
Crores,ITC Limited,Consumer Staples,Equity,2080565.0,3.35,86.6451,
Crores,Tata Consultancy Services Limited,Information Technology,Equity,228235.0,3.05,79.015,
Crores,Axis Bank Limited,Financials,Equity,639575.0,2.97,76.6978,
Crores,Kotak Mahindra Bank Limited,Financials,Equity,328583.0,2.75,71.0889,
Crores,State Bank of India,Financials,Equity,858636.0,2.72,70.4382,
Crores,Mahindra & Mahindra Limited,Consumer Discretionary,Equity,197466.0,2.43,62.8574,
Crores,Bajaj Finance Limited,Non-Banking Financial Company (NBFC),Equity,593871.0,2.15,55.616,
Crores,Hindustan Unilever Limited,Consumer Staples,Equity,198323.0,1.76,45.5072,
Crores,Eternal Limited,E-Commerce/E-Retail,Equity,1553324.0,1.59,41.0311,
Crores,HCL Technologies Limited,Information Technology,Equity,236746.0,1.58,40.9239,
Crores,Sun Pharmaceutical Industries Limited,Health Care,Equity,240966.0,1.56,40.3787,
Crores,Maruti Suzuki India Limited,Consumer Discretionary,Equity,29330.0,1.41,36.3692,
Crores,NTPC Limited,Utilities,Equity,1059648.0,1.37,35.4876,
Crores,Titan Company Limited,Consumer Discretionary,Equity,92188.0,1.32,34.0192,
Crores,Bharat Electronics Limited,Information Technology,Equity,800427.0,1.3,33.738,
Crores,Tata Motors Limited,Consumer Discretionary,Equity,466432.0,1.24,32.0905,
Crores,UltraTech Cement Limited,Materials,Equity,26525.0,1.24,32.0767,
Crores,Trent Limited,Consumer Discretionary,Equity,49668.0,1.19,30.8811,
Crores,Power Grid Corporation of India Limited,Utilities,Equity,1012551.0,1.17,30.3664,
Crores,Tata Steel Limited,Iron & Steel,Equity,1848064.0,1.14,29.5247,
Crores,Bajaj Finserv Limited,Holding Company,Equity,121385.0,0.96,24.9568,
Crores,Grasim Industries Limited,Materials,Equity,85364.0,0.94,24.2818,
Crores,Jio Financial Services Limited,Non-Banking Financial Company (NBFC),Equity,732288.0,0.93,23.9275,
Crores,Asian Paints Limited,Materials,Equity,101103.0,0.92,23.6692,
Crores,Adani Ports and Special Economic Zone Limited,Industrials,Equity,164928.0,0.92,23.9179,
Crores,Tech Mahindra Limited,Information Technology,Equity,141794.0,0.92,23.9206,
Crores,Hindalco Industries Limited,Materials,Equity,323635.0,0.87,22.4231,
Crores,Shriram Finance Limited,Non-Banking Financial Company (NBFC),Equity,312807.0,0.85,22.1108,
Crores,JSW Steel Limited,Materials,Equity,212107.0,0.84,21.6455,
Crores,Oil & Natural Gas Corporation Limited,Energy,Equity,868073.0,0.82,21.1992,
Crores,Bajaj Auto Limited,Consumer Discretionary,Equity,24759.0,0.8,20.7381,
Crores,Coal India Limited,Materials,Equity,507626.0,0.77,19.8964,
Crores,Nestle India Limited,Food Processing & Packaging,Equity,80127.0,0.76,19.7537,
Crores,HDFC Life Insurance Company Limited,Financials,Equity,239488.0,0.75,19.5015,
Crores,Cipla Limited,Health Care,Equity,125705.0,0.73,18.9299,
Crores,SBI Life Insurance Company Limited,Financials,Equity,100196.0,0.71,18.419,
Crores,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Equity,136081.0,0.68,17.4633,
Crores,Eicher Motors Limited,Auto - 2 & 3 Wheelers,Equity,30736.0,0.67,17.3858,
Crores,Wipro Limited,Information Technology,Equity,637423.0,0.66,16.9542,
Crores,Apollo Hospitals Enterprise Limited,Health Care,Equity,22578.0,0.63,16.351,
Crores,Tata Consumer Products Limited,Consumer Staples,Equity,145544.0,0.62,15.9938,
Crores,Adani Enterprises Limited,Industrials,Equity,58211.0,0.59,15.2478,
Crores,TREPS,,Treps/Reverse Repo,0.0,0.55,14.1541,
Crores,IndusInd Bank Limited,Financials,Equity,147180.0,0.5,12.8356,
Crores,Hero MotoCorp Limited,Consumer Discretionary,Equity,29016.0,0.48,12.2944,
Crores,Cash Margin - CCIL,,Cash,0.0,0.0,0.0858,
Crores,Net Current Assets,,Current Assets,0.0,-0.45,-12.3425,
