Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,TREPS,,Treps/Reverse Repo,0.0,2.58,1719.0289,
Crores,Multi Commodity Exchange of India Limited,Financials,Equity,1851010.0,2.49,1655.5433,
Crores,HDFC Bank Limited,Finance - Banks - Private Sector,Equity,6650000.0,2.0,1330.9975,
Crores,Kirloskar Brothers Limited,Industrials,Equity,4472130.0,1.58,1054.2599,
Crores,Net Current Assets,,Current Assets,0.0,1.42,970.3429,
Crores,Karur Vysya Bank Limited,Financials,Equity,31784062.0,1.28,850.3508,
Crores,Elantas Beck India Limited,Materials,Equity,651246.0,1.24,827.3885,
Crores,Apar Industries Limited,Industrials,Equity,899271.0,1.18,784.2992,
Crores,Tube Investments of India Limited,Consumer Discretionary,Equity,2499222.0,1.17,777.0081,
Crores,State Bank of India,Financials,Equity,9100000.0,1.12,746.5185,
Crores,Bharat Heavy Electricals Limited,Industrials,Equity,27500000.0,1.1,732.325,
Crores,Pfizer Limited,Health Care,Equity,1206103.0,1.03,684.765,
Crores,Zydus Wellness Limited,Consumer Staples,Equity,3351746.0,1.02,678.1253,
Crores,Balrampur Chini Mills Limited,Consumer Staples,Equity,11061303.0,0.99,656.8755,
Crores,Whirlpool of India Limited,Consumer Discretionary,Equity,4565382.0,0.96,639.7926,
Crores,NLC India Limited,Materials,Equity,27190940.0,0.94,626.1258,
Crores,Paradeep Phosphates Limited,Fertilisers,Equity,38692338.0,0.93,619.0,
Crores,eClerx Services Limited,Information Technology,Equity,1762330.0,0.93,617.027,
Crores,Voltamp Transformers Limited,Industrials,Equity,642476.0,0.92,611.3802,
Crores,PNB Housing Finance Limited,Financials,Equity,5463339.0,0.91,606.1028,
Crores,AstraZeneca Pharma India Limited,Health Care,Equity,658075.0,0.88,586.2461,
Crores,Radico Khaitan Limited,Consumer Staples,Equity,2228907.0,0.88,583.3495,
Crores,AWL Agri Business Limited,Edible Oils & Solvent Extraction,Equity,22483343.0,0.88,584.4545,
Crores,Kirloskar Pneumatic Company Limited,Industrials,Equity,4102361.0,0.87,581.3866,
Crores,Aster DM Healthcare Limited,Health Care,Equity,9648384.0,0.86,575.0919,
Crores,Emami Limited,Consumer Staples,Equity,9970126.0,0.86,569.8924,
