Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,7.17% Government of India,Others - Not Mentioned,Government Securities,6400000.0,17.21,65.9411,SOVEREIGN
Crores,7.77% State Government Securities,,Government Securities,3500000.0,9.48,36.3066,SOVEREIGN
Crores,6.99% State Government Securities,Finance & Investments,Government Securities,3530000.0,9.42,36.1078,SOVEREIGN
Crores,8.44% State Government Securities,,Government Securities,3000000.0,8.26,31.6638,SOVEREIGN
Crores,8.6% Government of India,,Government Securities,2180000.0,6.09,23.3483,SOVEREIGN
Crores,8.05% State Government Securities,,Government Securities,1950000.0,5.34,20.4489,SOVEREIGN
Crores,8.28% State Government Securities,,Government Securities,1900000.0,5.22,19.9815,SOVEREIGN
Crores,8.26% Government of India,,Government Securities,1567000.0,4.29,16.422,SOVEREIGN
Crores,7.59% State Government Securities,,Government Securities,1500000.0,4.04,15.4686,SOVEREIGN
Crores,8.16% State Government Securities,,Government Securities,1220000.0,3.34,12.8131,SOVEREIGN
Crores,7.7% State Government Securities,Finance & Investments,Government Securities,1000000.0,2.71,10.3746,SOVEREIGN
Crores,6.89% State Government Securities,Finance & Investments,Government Securities,1000000.0,2.66,10.1845,SOVEREIGN
Crores,6.79% State Government Securities,Finance & Investments,Government Securities,1000000.0,2.65,10.1714,SOVEREIGN
Crores,Net Current Assets,,Current Assets,0.0,2.07,7.899,
Crores,8.13% State Government Securities,,Government Securities,660000.0,1.81,6.9221,SOVEREIGN
Crores,8.05% State Government Securities,,Government Securities,655400.0,1.79,6.852,SOVEREIGN
Crores,8.39% State Government Securities,,Government Securities,600000.0,1.66,6.3452,SOVEREIGN
Crores,8% State Government Securities,,Government Securities,500000.0,1.37,5.2322,SOVEREIGN
Crores,7.65% State Government Securities,,Government Securities,500000.0,1.35,5.1734,SOVEREIGN
Crores,7.02% State Government Securities,Finance & Investments,Government Securities,500000.0,1.33,5.1085,SOVEREIGN
Crores,TREPS,,Treps/Reverse Repo,0.0,1.12,4.3027,
Crores,8.15% State Government Securities,,Government Securities,392000.0,1.08,4.1236,SOVEREIGN
Crores,8.26% State Government Securities,,Government Securities,365700.0,1.0,3.8483,SOVEREIGN
Crores,8.13% State Government Securities,,Government Securities,280400.0,0.77,2.941,SOVEREIGN
Crores,8.2% State Government Securities,,Government Securities,250000.0,0.68,2.6199,SOVEREIGN
Crores,8.2% State Government Securities,,Government Securities,250000.0,0.68,2.6213,SOVEREIGN
Crores,8.28% Government of India,Others - Not Mentioned,Government Securities,225000.0,0.62,2.3615,SOVEREIGN
Crores,7.98% State Government Securities,,Government Securities,209300.0,0.57,2.1866,SOVEREIGN
Crores,7.76% State Government Securities,,Government Securities,200000.0,0.54,2.0749,SOVEREIGN
Crores,8.28% State Government Securities,,Government Securities,175000.0,0.48,1.8424,SOVEREIGN
Crores,8.28% State Government Securities,,Government Securities,135000.0,0.37,1.4201,SOVEREIGN
Crores,Cash Margin - CCIL,,Cash,0.0,0.0,0.0013,
