Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,HDFC Bank Limited,Finance - Banks - Private Sector,Equity,233864.0,27.99,46.8079,
Crores,ICICI Bank Limited,Financials,Equity,289933.0,25.07,41.9185,
Crores,State Bank of India,Financials,Equity,176538.0,8.66,14.4823,
Crores,Axis Bank Limited,Financials,Equity,116409.0,8.35,13.9598,
Crores,Kotak Mahindra Bank Limited,Financials,Equity,64249.0,8.31,13.9003,
Crores,IndusInd Bank Limited,Financials,Equity,70817.0,3.69,6.176,
Crores,The Federal Bank Limited,Financials,Equity,263886.0,3.36,5.6239,
Crores,IDFC First Bank Limited,Financials,Equity,710599.0,3.1,5.176,
Crores,Bank of Baroda,Financials,Equity,199102.0,2.96,4.9533,
Crores,AU Small Finance Bank Limited,Financials,Equity,60414.0,2.95,4.9388,
Crores,Canara Bank,Finance - Banks - Public Sector,Equity,362522.0,2.48,4.14,
Crores,Punjab National Bank,Financials,Equity,370759.0,2.45,4.0969,
Crores,TREPS,,Treps/Reverse Repo,0.0,0.81,1.362,
Crores,Cash Margin - CCIL,,Cash,0.0,0.01,0.0084,
Crores,Net Current Assets,,Current Assets,0.0,-0.19,-0.3194,
