Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,Infosys Limited,Information Technology,Equity,266273.0,28.68,42.6516,
Crores,Tata Consultancy Services Limited,Information Technology,Equity,93821.0,21.84,32.4808,
Crores,HCL Technologies Limited,Information Technology,Equity,97320.0,11.31,16.8227,
Crores,Tech Mahindra Limited,Information Technology,Equity,85901.0,9.75,14.4915,
Crores,Wipro Limited,Information Technology,Equity,386161.0,6.91,10.2711,
Crores,Persistent Systems Limited,IT Consulting & Software,Equity,14525.0,5.9,8.7753,
Crores,Coforge Limited,IT Consulting & Software,Equity,45107.0,5.84,8.6808,
Crores,LTIMindtree Limited,Information Technology,Equity,12538.0,4.48,6.6665,
Crores,Mphasis Limited,Information Technology,Equity,15413.0,2.95,4.3856,
Crores,Oracle Financial Services Software Limited,Information Technology,Equity,3209.0,1.94,2.8836,
Crores,TREPS,,Treps/Reverse Repo,0.0,1.21,1.8014,
Crores,Cash Margin - CCIL,,Cash,0.0,0.01,0.011,
Crores,Net Current Assets,,Current Assets,0.0,-0.82,-1.2188,
