Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,TREPS,,Treps/Reverse Repo,0.0,0.7,3.2089,
Crores,Raymond Lifestyle Limited,Retail - Apparel/Accessories,Equity,8273.0,0.24,1.0829,
Crores,Himadri Speciality Chemical Limited,Materials,Equity,19896.0,0.23,1.0302,
Crores,Aavas Financiers Limited,Financials,Equity,4787.0,0.22,1.0017,
Crores,Abbott India Limited,Health Care,Equity,284.0,0.22,1.013,
Crores,Brainbees Solutions Ltd,E-Commerce/E-Retail,Equity,26554.0,0.22,1.025,
Crores,IDBI Bank Limited,Financials,Equity,95260.0,0.22,0.9853,
Crores,Bayer Cropscience Limited,Materials,Equity,1566.0,0.22,0.9857,
Crores,Nuvama Wealth Management Limited,Finance & Investments,Equity,1200.0,0.22,0.9877,
Crores,City Union Bank Limited,Financials,Equity,45251.0,0.22,0.9897,
Crores,Narayana Hrudayalaya Limited,Health Care,Equity,4375.0,0.21,0.9496,
Crores,LT Foods Limited,Consumer Staples,Equity,20062.0,0.21,0.9759,
Crores,Godfrey Phillips India Limited,Consumer Staples,Equity,1088.0,0.21,0.9766,
Crores,Natco Pharma Limited,Health Care,Equity,10248.0,0.21,0.9496,
Crores,Punjab National Bank,Financials,Equity,85010.0,0.21,0.9394,
Crores,Finolex Cables Limited,Industrials,Equity,9589.0,0.21,0.9393,
Crores,Torrent Pharmaceuticals Limited,Health Care,Equity,2791.0,0.21,0.9512,
Crores,Asahi India Glass Limited,Consumer Discretionary,Equity,12889.0,0.21,0.9785,
Crores,Vodafone Idea Limited,Communication Services,Equity,1263103.0,0.21,0.9385,
Crores,Tube Investments of India Limited,Consumer Discretionary,Equity,3153.0,0.21,0.9803,
Crores,RattanIndia Enterprises Limited,Utilities,Equity,151182.0,0.21,0.9816,
Crores,Indraprastha Gas Limited,Utilities,Equity,43062.0,0.21,0.9382,
Crores,Berger Paints (I) Limited,Materials,Equity,15847.0,0.21,0.9392,
Crores,Bombay Burmah Trading Corporation Limited,Consumer Staples,Equity,4676.0,0.21,0.9387,
Crores,Cholamandalam Financial Holdings Limited,Financials,Equity,4440.0,0.21,0.9617,
Crores,Bajaj Holdings & Investment Limited,Financials,Equity,656.0,0.21,0.9433,
Crores,Waaree Energies Limited,Electric Equipment - General,Equity,3061.0,0.21,0.961,
Crores,Hyundai Motor India Ltd,Auto - Cars & Jeeps,Equity,4236.0,0.21,0.9403,
Crores,Bandhan Bank Limited,Financials,Equity,49486.0,0.21,0.9385,
Crores,Gravita India Limited,Materials,Equity,5105.0,0.21,0.9601,
Crores,International Gemmological Institute India Ltd,Services - Others,Equity,25132.0,0.21,0.9504,
Crores,Adani Gas Limited,Utilities,Equity,14202.0,0.21,0.9597,
Crores,Lloyds Metals And Energy Limited,Materials,Equity,5916.0,0.21,0.94,
