Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,InterGlobe Aviation Limited,Industrials,Equity,83348.0,5.19,49.8129,
Crores,HDFC Life Insurance Company Limited,Financials,Equity,598652.0,5.08,48.7482,
Crores,Bajaj Finserv Limited,Holding Company,Equity,233622.0,5.01,48.0327,
Crores,Bajaj Finance Limited,Non-Banking Financial Company (NBFC),Equity,506467.0,4.94,47.4306,
Crores,SBI Life Insurance Company Limited,Financials,Equity,255061.0,4.89,46.8879,
Crores,BSE Limited,Financials,Equity,168520.0,4.87,46.6817,
Crores,Kotak Mahindra Bank Limited,Financials,Equity,213802.0,4.82,46.2561,
Crores,Max Healthcare Institute Limited,Hospitals & Medical Services,Equity,353285.0,4.7,45.0792,
Crores,Divi's Laboratories Limited,Health Care,Equity,65221.0,4.63,44.4122,
Crores,Cholamandalam Investment and Finance Company Ltd,Non-Banking Financial Company (NBFC),Equity,219309.0,3.72,35.7035,
Crores,Max Financial Services Limited,Financials,Equity,212125.0,3.64,34.9391,
Crores,Solar Industries India Limited,Materials,Equity,18728.0,3.44,32.9575,
Crores,Coforge Limited,IT Consulting & Software,Equity,149481.0,3.0,28.7676,
Crores,Persistent Systems Limited,IT Consulting & Software,Equity,42450.0,2.67,25.6462,
Crores,SRF Limited,Consumer Discretionary,Equity,78533.0,2.65,25.4612,
Crores,Multi Commodity Exchange of India Limited,Financials,Equity,25653.0,2.39,22.944,
Crores,Coromandel International Limited,Materials,Equity,89057.0,2.33,22.3106,
Crores,SBI Cards and Payment Services Limited,Non-Banking Financial Company (NBFC),Equity,208632.0,2.07,19.8847,
Crores,Fortis Healthcare Limited,Health Care,Equity,230942.0,1.91,18.3483,
Crores,One 97 Communications Limited,Financial Technologies (Fintech),Equity,194780.0,1.88,17.9977,
Crores,Hitachi Energy India Limited,Electric Equipment - Switchgear/Circuit Breaker,Equity,8407.0,1.75,16.8199,
Crores,Mazagon Dock Shipbuilders Limited,Ship - Docks/Breaking/Repairs,Equity,49129.0,1.66,15.9389,
Crores,Lloyds Metals And Energy Limited,Materials,Equity,92359.0,1.53,14.6749,
Crores,Reliance Power Limited,Utilities,Equity,2046677.0,1.5,14.3861,
Crores,TREPS,,Treps/Reverse Repo,0.0,1.47,14.0918,
Crores,Muthoot Finance Limited,Financials,Equity,49623.0,1.36,13.0206,
Crores,Bharat Dynamics Limited,Aerospace & Defense,Equity,60574.0,1.23,11.7707,
Crores,Narayana Hrudayalaya Limited,Health Care,Equity,49565.0,1.12,10.7576,
Crores,Manappuram Finance Limited,Financials,Equity,357627.0,1.03,9.848,
Crores,Radico Khaitan Limited,Consumer Staples,Equity,35108.0,0.96,9.1885,
Crores,Bharti Hexacom Limited,Telecom Services,Equity,46976.0,0.96,9.173,
Crores,Redington Limited,Information Technology,Equity,275367.0,0.93,8.9591,
Crores,Navin Fluorine International Limited,Materials,Equity,17389.0,0.87,8.3817,
Crores,Berger Paints (I) Limited,Materials,Equity,134171.0,0.83,7.9516,
Crores,Godfrey Phillips India Limited,Consumer Staples,Equity,8790.0,0.82,7.8903,
Crores,Deepak Fertilizers and Petrochemicals Corporation Limited,Materials,Equity,43074.0,0.77,7.3545,
Crores,PG Electroplast Limited,Consumer Electronics,Equity,93216.0,0.73,7.0345,
Crores,Aster DM Healthcare Limited,Health Care,Equity,116906.0,0.73,6.9682,
Crores,GlaxoSmithKline Pharmaceuticals Limited,Health Care,Equity,20476.0,0.72,6.9375,
Crores,Intellect Design Arena Limited,Information Technology,Equity,55605.0,0.67,6.3885,
Crores,Garden Reach Shipbuilders & Engineers Limited,Industrials,Equity,21362.0,0.67,6.4411,
Crores,Welspun Corp Limited,Materials,Equity,69790.0,0.67,6.4521,
Crores,Kaynes Technology India Limited,Electronics - Equipment/Components,Equity,10307.0,0.65,6.2821,
Crores,Amber Enterprises India Limited,Consumer Discretionary,Equity,8785.0,0.62,5.947,
Crores,Firstsource Solutions Limited,Information Technology,Equity,152827.0,0.6,5.7257,
Crores,Home First Finance Company India Limited,Finance - Housing,Equity,38662.0,0.56,5.3296,
Crores,Eris Lifesciences Limited,Health Care,Equity,29662.0,0.52,4.9945,
Crores,PTC Industries Limited,Materials,Equity,3088.0,0.5,4.8077,
Crores,Zen Technologies Limited,Information Technology,Equity,24179.0,0.5,4.7906,
Crores,CEAT Limited,Consumer Discretionary,Equity,12048.0,0.46,4.4385,
Crores,LT Foods Limited,Consumer Staples,Equity,80960.0,0.41,3.9383,
Crores,Cash Margin - CCIL,,Cash,0.0,0.01,0.0859,
Crores,Net Current Assets,,Current Assets,0.0,-1.64,-15.8084,
