Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,8.43% L&T Finance Limited,,Non Convertible Debentures,40.0,8.91,10.1632,CRISIL AAA
Crores,7.84% Tata Capital Housing Finance Limited,,Non Convertible Debentures,1000.0,8.86,10.1077,CRISIL AAA
Crores,8.22% Kotak Mahindra Investments Limited,,Non Convertible Debentures,800.0,7.11,8.1106,CRISIL AAA
Crores,6.35% HDB Financial Services Limited,,Non Convertible Debentures,70.0,6.09,6.9474,CRISIL AAA
Crores,Net Current Assets,,Current Assets,0.0,5.23,5.933,
Crores,7.68% Indian Railway Finance Corporation Limited,,Non Convertible Debentures,500.0,4.45,5.0762,CRISIL AAA
Crores,8.04% Sundaram Finance Limited,,Non Convertible Debentures,500.0,4.44,5.0677,CRISIL AAA
Crores,7.98% Bajaj Housing Finance Limited,,Non Convertible Debentures,500.0,4.44,5.0659,CRISIL AAA
Crores,7.75% Sundaram Finance Limited,,Non Convertible Debentures,500.0,4.43,5.0546,ICRA AAA
Crores,7.69% LIC Housing Finance Limited,,Non Convertible Debentures,500.0,4.43,5.0553,CRISIL AAA
Crores,7.56% Power Finance Corporation Limited,,Non Convertible Debentures,50.0,4.43,5.0556,CRISIL AAA
Crores,8.1% Bajaj Finance Limited,,Non Convertible Debentures,500.0,4.43,5.0576,CRISIL AAA
Crores,7.55% Small Industries Dev Bank of India,,Non Convertible Debentures,500.0,4.43,5.0533,CRISIL AAA
Crores,7.49% National Bank For Agriculture and Rural Development,,Non Convertible Debentures,500.0,4.43,5.0506,CRISIL AAA
Crores,7.23% Indian Railway Finance Corporation Limited,,Non Convertible Debentures,500.0,4.42,5.0455,CRISIL AAA
Crores,7.48% Kotak Mahindra Prime Limited,,Non Convertible Debentures,50.0,4.41,5.0271,CRISIL AAA
Crores,6.55% Aditya Birla Capital Limited,,Non Convertible Debentures,50.0,4.36,4.9706,ICRA AAA
Crores,6.8% Axis Finance Limited,,Non Convertible Debentures,50.0,4.35,4.9596,CRISIL AAA
Crores,8.04% Kotak Mahindra Investments Limited,,Non Convertible Debentures,400.0,3.54,4.0421,CRISIL AAA
Crores,7.83% National Bank For Agriculture and Rural Development,,Non Convertible Debentures,200.0,1.78,2.0327,CRISIL AAA
Crores,7.5% National Bank For Agriculture and Rural Development,,Non Convertible Debentures,100.0,0.89,1.0095,CRISIL AAA
Crores,TREPS,,Treps/Reverse Repo,0.0,0.14,0.1593,
Crores,Cash Margin - CCIL,,Cash,0.0,0.0,0.0015,
