Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,7.71% Tata Capital Housing Finance Limited,,Non Convertible Debentures,1000.0,11.3,10.1409,CRISIL AAA
Crores,7.92% Aditya Birla Capital Limited,,Non Convertible Debentures,100.0,11.29,10.1308,ICRA AAA
Crores,Net Current Assets,,Current Assets,0.0,9.78,8.7564,
Crores,7.62% National Bank For Agriculture and Rural Development,,Non Convertible Debentures,720.0,8.18,7.3425,CRISIL AAA
Crores,7.74% Power Finance Corporation Limited,,Non Convertible Debentures,67.0,7.65,6.8628,CRISIL AAA
Crores,7.95% LIC Housing Finance Limited,,Non Convertible Debentures,50.0,5.7,5.109,CRISIL AAA
Crores,7.54% Indian Railway Finance Corporation Limited,,Non Convertible Debentures,50.0,5.69,5.1022,CRISIL AAA
Crores,7.98% Bajaj Housing Finance Limited,,Non Convertible Debentures,50.0,5.69,5.1049,CRISIL AAA
Crores,8.37% Kotak Mahindra Investments Limited,,Non Convertible Debentures,500.0,5.69,5.1087,CRISIL AAA
Crores,8.12% Bajaj Finance Limited,,Non Convertible Debentures,500.0,5.68,5.0993,CRISIL AAA
Crores,7.99% Kotak Mahindra Prime Limited,,Non Convertible Debentures,50.0,5.67,5.0887,CRISIL AAA
Crores,8.01% Mahindra & Mahindra Financial Services Limited,,Non Convertible Debentures,500.0,5.66,5.0779,CRISIL AAA
Crores,7.96% HDB Financial Services Limited,,Non Convertible Debentures,500.0,5.66,5.0757,CRISIL AAA
Crores,7.68% Tata Capital Limited,,Non Convertible Debentures,50.0,5.63,5.0524,CRISIL AAA
Crores,TREPS,,Treps/Reverse Repo,0.0,0.73,0.6525,
Crores,Cash Margin - CCIL,,Cash,0.0,0.0,0.0043,
