Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,DLF Limited,Real Estate,Equity,74678.0,21.0,6.2565,
Crores,Macrotech Developers Limited,Realty,Equity,32592.0,15.14,4.5114,
Crores,Godrej Properties Limited,Real Estate,Equity,17496.0,13.76,4.0995,
Crores,The Phoenix Mills Limited,Real Estate,Equity,21708.0,11.38,3.3901,
Crores,Prestige Estates Projects Limited,Real Estate,Equity,19636.0,10.92,3.2545,
Crores,Oberoi Realty Limited,Real Estate,Equity,13700.0,8.76,2.6107,
Crores,Brigade Enterprises Limited,Real Estate,Equity,16157.0,6.02,1.7931,
Crores,TREPS,,Treps/Reverse Repo,0.0,3.17,0.9455,
Crores,Anant Raj Limited,Real Estate,Equity,15832.0,3.01,0.8968,
Crores,Sobha Limited,Real Estate,Equity,5183.0,2.55,0.7597,
Crores,Net Current Assets,,Current Assets,0.0,2.22,0.6579,
Crores,Raymond Realty Limited,Realty,Equity,3201.0,1.12,0.3327,
Crores,Raymond Limited,Consumer Discretionary,Equity,3892.0,0.93,0.2761,
Crores,Cash Margin - CCIL,,Cash,0.0,0.02,0.0058,
