Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,Mahindra & Mahindra Limited,Consumer Discretionary,Equity,22431.0,24.88,7.1402,
Crores,Maruti Suzuki India Limited,Consumer Discretionary,Equity,3332.0,14.4,4.1317,
Crores,Tata Motors Limited,Consumer Discretionary,Equity,52984.0,12.7,3.6453,
Crores,Bajaj Auto Limited,Consumer Discretionary,Equity,2813.0,8.21,2.3562,
Crores,Eicher Motors Limited,Auto - 2 & 3 Wheelers,Equity,3491.0,6.88,1.9747,
Crores,TVS Motor Company Limited,Consumer Discretionary,Equity,5962.0,6.06,1.7397,
Crores,Hero MotoCorp Limited,Consumer Discretionary,Equity,3296.0,4.87,1.3965,
Crores,Samvardhana Motherson International Limited,Consumer Discretionary,Equity,74849.0,4.04,1.1589,
Crores,Ashok Leyland Limited,Industrials,Equity,36313.0,3.17,0.9111,
Crores,Bharat Forge Limited,Materials,Equity,6768.0,3.08,0.8853,
Crores,Tube Investments of India Limited,Consumer Discretionary,Equity,2710.0,2.94,0.8425,
Crores,MRF Limited,Consumer Discretionary,Equity,51.0,2.53,0.726,
Crores,Bosch Limited,Consumer Discretionary,Equity,220.0,2.51,0.719,
Crores,Balkrishna Industries Limited,Consumer Discretionary,Equity,2033.0,1.73,0.4971,
Crores,Exide Industries Limited,Industrials,Equity,11553.0,1.56,0.448,
Crores,TREPS,,Treps/Reverse Repo,0.0,0.9,0.2586,
Crores,Cash Margin - CCIL,,Cash,0.0,0.01,0.0016,
Crores,Net Current Assets,,Current Assets,0.0,-0.47,-0.1333,
