Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,State Bank of India,Financials,Equity,6864.0,5.08,0.5631,
Crores,Bajaj Finance Limited,Non-Banking Financial Company (NBFC),Equity,5917.0,5.0,0.5541,
Crores,Kotak Mahindra Bank Limited,Financials,Equity,2498.0,4.88,0.5404,
Crores,Maruti Suzuki India Limited,Consumer Discretionary,Equity,430.0,4.81,0.5332,
Crores,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Equity,4093.0,4.74,0.5253,
Crores,Bajaj Finserv Limited,Holding Company,Equity,2288.0,4.24,0.4704,
Crores,Apollo Hospitals Enterprise Limited,Health Care,Equity,648.0,4.23,0.4693,
Crores,Britannia Industries Limited,Consumer Staples,Equity,776.0,4.1,0.454,
Crores,Cipla Limited,Health Care,Equity,3012.0,4.09,0.4536,
Crores,HDFC Life Insurance Company Limited,Financials,Equity,5462.0,4.01,0.4448,
Crores,Tech Mahindra Limited,Information Technology,Equity,2521.0,3.84,0.4253,
Crores,SBI Life Insurance Company Limited,Financials,Equity,2115.0,3.51,0.3888,
Crores,Eicher Motors Limited,Auto - 2 & 3 Wheelers,Equity,587.0,3.0,0.332,
Crores,Divi's Laboratories Limited,Health Care,Equity,460.0,2.83,0.3132,
Crores,TREPS,,Treps/Reverse Repo,0.0,2.8,0.3099,
Crores,Bajaj Auto Limited,Consumer Discretionary,Equity,366.0,2.77,0.3066,
Crores,Hero MotoCorp Limited,Consumer Discretionary,Equity,570.0,2.18,0.2415,
Crores,TVS Motor Company Limited,Consumer Discretionary,Equity,826.0,2.17,0.241,
Crores,ICICI Lombard General Insurance Company Limited,Financials,Equity,1163.0,2.14,0.2373,
Crores,Wipro Limited,Information Technology,Equity,8677.0,2.08,0.2308,
Crores,The Federal Bank Limited,Financials,Equity,9611.0,1.85,0.2048,
Crores,Torrent Pharmaceuticals Limited,Health Care,Equity,561.0,1.72,0.1912,
Crores,MRF Limited,Consumer Discretionary,Equity,13.0,1.67,0.1851,
Crores,Godrej Consumer Products Limited,Consumer Staples,Equity,1542.0,1.64,0.1817,
Crores,Marico Limited,Consumer Staples,Equity,2383.0,1.55,0.1721,
Crores,Max Financial Services Limited,Financials,Equity,1029.0,1.53,0.1695,
Crores,Havells India Limited,Industrials,Equity,1074.0,1.5,0.1666,
Crores,Dabur India Limited,Consumer Staples,Equity,3336.0,1.46,0.1619,
Crores,IDFC First Bank Limited,Financials,Equity,21178.0,1.39,0.1543,
Crores,Page Industries Limited,Consumer Discretionary,Equity,30.0,1.34,0.1482,
Crores,LTIMindtree Limited,Information Technology,Equity,275.0,1.32,0.1462,
Crores,SRF Limited,Consumer Discretionary,Equity,446.0,1.3,0.1446,
Crores,PI Industries Limited,Materials,Equity,345.0,1.28,0.1416,
Crores,Colgate Palmolive (India) Limited,Consumer Staples,Equity,587.0,1.27,0.1413,
Crores,SBI Cards and Payment Services Limited,Non-Banking Financial Company (NBFC),Equity,1466.0,1.26,0.1397,
Crores,ICICI Prudential Life Insurance Company Limited,Financials,Equity,1853.0,1.1,0.1219,
Crores,Zydus Lifesciences Limited,Health Care,Equity,1013.0,0.9,0.1003,
Crores,Berger Paints (I) Limited,Materials,Equity,1326.0,0.71,0.0786,
Crores,Astral Limited,Industrials,Equity,475.0,0.65,0.0716,
Crores,Dalmia Bharat Limited,Materials,Equity,300.0,0.6,0.0662,
Crores,United Breweries Limited,Consumer Staples,Equity,325.0,0.57,0.0634,
Crores,The Ramco Cements Limited,Materials,Equity,528.0,0.51,0.0568,
Crores,Motherson Sumi Wiring India Limited,Cables - Power/Others,Equity,8041.0,0.43,0.048,
Crores,Dr. Lal Path Labs Limited,Health Care,Equity,154.0,0.39,0.0431,
Crores,Tata Technologies Limited,IT Consulting & Software,Equity,573.0,0.37,0.0407,
Crores,Syngene International Limited,Health Care,Equity,613.0,0.35,0.0392,
Crores,Honeywell Automation India Limited,Information Technology,Equity,9.0,0.32,0.0354,
Crores,Bata India Limited,Consumer Discretionary,Equity,295.0,0.32,0.036,
Crores,Star Health And Allied Insurance Company Limited,Finance - Non Life Insurance,Equity,825.0,0.31,0.0349,
Crores,Metropolis Healthcare Limited,Hospitals & Medical Services,Equity,106.0,0.16,0.0181,
Crores,Happiest Minds Technologies Limited,IT Consulting & Software,Equity,268.0,0.16,0.0176,
Crores,Cash Margin - CCIL,,Cash,0.0,0.03,0.003,
Crores,Net Current Assets,,Current Assets,0.0,-2.46,-0.2731,
