Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,Bharat Electronics Limited,Information Technology,Equity,38382.0,4.69,1.6178,
Crores,Coal India Limited,Materials,Equity,39674.0,4.51,1.555,
Crores,TREPS,,Treps/Reverse Repo,0.0,4.24,1.4613,
Crores,Britannia Industries Limited,Consumer Staples,Equity,2458.0,4.17,1.4382,
Crores,Colgate Palmolive (India) Limited,Consumer Staples,Equity,5328.0,3.72,1.2825,
Crores,Bajaj Auto Limited,Consumer Discretionary,Equity,1474.0,3.58,1.2346,
Crores,Suzlon Energy Limited,Industrials,Equity,173888.0,3.42,1.1776,
Crores,Adani Power Limited,Utilities,Equity,17679.0,3.0,1.0355,
Crores,Bharat Petroleum Corporation Limited,Energy,Equity,30828.0,2.97,1.0233,
Crores,HDFC Asset Management Company Limited,Financials,Equity,1884.0,2.84,0.9781,
Crores,Persistent Systems Limited,IT Consulting & Software,Equity,1590.0,2.79,0.9606,
Crores,Coforge Limited,IT Consulting & Software,Equity,4930.0,2.75,0.9488,
Crores,CG Power and Industrial Solutions Limited,Industrials,Equity,13767.0,2.72,0.9391,
Crores,Marico Limited,Consumer Staples,Equity,12664.0,2.65,0.9148,
Crores,Solar Industries India Limited,Materials,Equity,486.0,2.48,0.8553,
Crores,Page Industries Limited,Consumer Discretionary,Equity,172.0,2.46,0.8499,
Crores,LTIMindtree Limited,Information Technology,Equity,1512.0,2.33,0.8039,
Crores,Indian Railway Catering And Tourism Corporation Limited,Tours & Travels,Equity,9950.0,2.26,0.7776,
Crores,Computer Age Management Services Limited,Finance & Investments,Equity,1800.0,2.24,0.7722,
Crores,Central Depository Services (India) Limited,Financials,Equity,4306.0,2.24,0.7725,
Crores,ABB India Limited,Industrials,Equity,1258.0,2.22,0.7649,
Crores,Tata Elxsi Limited,Information Technology,Equity,1068.0,1.95,0.6739,
Crores,Mazagon Dock Shipbuilders Limited,Ship - Docks/Breaking/Repairs,Equity,1974.0,1.86,0.6404,
Crores,Indian Energy Exchange Limited,Utilities,Equity,32234.0,1.81,0.6225,
Crores,GlaxoSmithKline Pharmaceuticals Limited,Health Care,Equity,1822.0,1.79,0.6173,
Crores,Oracle Financial Services Software Limited,Information Technology,Equity,680.0,1.77,0.611,
Crores,NMDC Limited,Materials,Equity,86757.0,1.76,0.6073,
Crores,360 One WAM Limited,Finance & Investments,Equity,5009.0,1.74,0.5983,
Crores,KPIT Technologies Limited,IT Consulting & Software,Equity,4755.0,1.74,0.5985,
Crores,Castrol India Limited,Materials,Equity,24422.0,1.57,0.5415,
Crores,Schneider Electric Infrastructure Limited,Industrials,Equity,6319.0,1.53,0.526,
Crores,Anand Rathi Wealth Limited,Finance & Investments,Equity,2421.0,1.52,0.5229,
Crores,Motilal Oswal Financial Services Limited,Financials,Equity,6019.0,1.52,0.5237,
Crores,Angel One Limited,Finance & Investments,Equity,1787.0,1.51,0.5223,
Crores,CRISIL Limited,Financials,Equity,835.0,1.46,0.505,
Crores,Apar Industries Limited,Industrials,Equity,572.0,1.45,0.4989,
Crores,Gillette India Limited,Consumer Staples,Equity,459.0,1.45,0.5007,
Crores,Emami Limited,Consumer Staples,Equity,8167.0,1.35,0.4668,
Crores,Narayana Hrudayalaya Limited,Health Care,Equity,2111.0,1.33,0.4582,
Crores,L&T Technology Services Limited,Industrials,Equity,995.0,1.27,0.438,
Crores,Zen Technologies Limited,Information Technology,Equity,2135.0,1.23,0.423,
Crores,Mahanagar Gas Limited,Utilities,Equity,2615.0,1.12,0.3879,
Crores,Triveni Turbine Limited,Industrials,Equity,6083.0,1.08,0.3726,
Crores,eClerx Services Limited,Information Technology,Equity,963.0,0.98,0.3372,
Crores,Sonata Software Limited,Information Technology,Equity,8092.0,0.96,0.3318,
Crores,Action Construction Equipment Limited,Industrials,Equity,2538.0,0.9,0.3093,
Crores,Praj Industries Limited,Industrials,Equity,5943.0,0.88,0.3024,
Crores,Tanla Platforms Limited,Information Technology,Equity,4523.0,0.84,0.2913,
Crores,BLS International Services Limited,Information Technology,Equity,7670.0,0.82,0.283,
Crores,Chennai Petroleum Corporation Limited,Energy,Equity,3558.0,0.7,0.2417,
Crores,Cash Margin - CCIL,,Cash,0.0,0.03,0.0108,
Crores,Net Current Assets,,Current Assets,0.0,-4.2,-1.4456,
