Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,InterGlobe Aviation Limited,Industrials,Equity,3163.0,4.74,1.8904,
Crores,Grasim Industries Limited,Materials,Equity,6116.0,4.37,1.7412,
Crores,Jio Financial Services Limited,Non-Banking Financial Company (NBFC),Equity,53022.0,4.35,1.733,
Crores,Hindalco Industries Limited,Materials,Equity,23083.0,4.01,1.5998,
Crores,Shriram Finance Limited,Non-Banking Financial Company (NBFC),Equity,22333.0,3.95,1.5772,
Crores,JSW Steel Limited,Materials,Equity,15307.0,3.91,1.5604,
Crores,Oil & Natural Gas Corporation Limited,Energy,Equity,62592.0,3.83,1.5282,
Crores,Max Healthcare Institute Limited,Hospitals & Medical Services,Equity,11858.0,3.79,1.5121,
Crores,Bajaj Auto Limited,Consumer Discretionary,Equity,1793.0,3.77,1.5019,
Crores,Hindustan Aeronautics Limited,Aerospace & Defense,Equity,3005.0,3.67,1.4641,
Crores,Coal India Limited,Materials,Equity,36597.0,3.6,1.4344,
Crores,Nestle India Limited,Food Processing & Packaging,Equity,5726.0,3.54,1.4118,
Crores,HDFC Life Insurance Company Limited,Financials,Equity,17282.0,3.53,1.407,
Crores,Divi's Laboratories Limited,Health Care,Equity,2045.0,3.49,1.3929,
Crores,Cipla Limited,Health Care,Equity,9074.0,3.42,1.3659,
Crores,SBI Life Insurance Company Limited,Financials,Equity,7238.0,3.34,1.3304,
Crores,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Equity,9776.0,3.15,1.2549,
Crores,Vedanta Limited,Materials,Equity,26987.0,3.12,1.2437,
Crores,Eicher Motors Limited,Auto - 2 & 3 Wheelers,Equity,2201.0,3.12,1.2445,
Crores,Wipro Limited,Information Technology,Equity,45408.0,3.03,1.2079,
Crores,Apollo Hospitals Enterprise Limited,Health Care,Equity,1615.0,2.93,1.1697,
Crores,Tata Consumer Products Limited,Consumer Staples,Equity,10323.0,2.84,1.1347,
Crores,Adani Enterprises Limited,Industrials,Equity,4261.0,2.8,1.1159,
Crores,Britannia Industries Limited,Consumer Staples,Equity,1894.0,2.78,1.1084,
Crores,Tata Power Company Limited,Utilities,Equity,26668.0,2.71,1.0817,
Crores,The Indian Hotels Company Limited,Consumer Discretionary,Equity,14164.0,2.7,1.0767,
Crores,Power Finance Corporation Limited,Financials,Equity,23305.0,2.5,0.9963,
Crores,Varun Beverages Limited,Non-Alcoholic Beverages,Equity,21711.0,2.49,0.9934,
Crores,TREPS,,Treps/Reverse Repo,0.0,2.37,0.9446,
Crores,IndusInd Bank Limited,Financials,Equity,10503.0,2.3,0.9157,
Crores,REC Limited,Financials,Equity,19863.0,2.0,0.7995,
Crores,Cash Margin - CCIL,,Cash,0.0,0.02,0.006,
Crores,Net Current Assets,,Current Assets,0.0,-2.17,-0.8599,
