Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,HDFC BANK LTD.,Finance - Banks - Private Sector,Equity,1725000.0,7.33,345.2588,
Crores,ICICI BANK LTD.,Financials,Equity,2125000.0,6.52,307.2325,
Crores,RELIANCE INDUSTRIES LTD.,Energy,Equity,1350000.0,4.3,202.581,
Crores,BHARTI AIRTEL LTD.,Communication Services,Equity,940000.0,4.01,188.9024,
Crores,INFOSYS LTD.,Information Technology,Equity,1160000.0,3.94,185.8088,
Crores,STATE BANK OF INDIA,Financials,Equity,2175000.0,3.79,178.4261,
Crores,AXIS BANK LTD.,Financials,Equity,1300000.0,3.31,155.896,
Crores,REPO,,CBLO/Reverse Repo,0.0,3.07,144.6032,
Crores,LARSEN & TOUBRO LTD.,Industrials,Equity,352147.0,2.74,129.2309,
Crores,NTPC Ltd.,Utilities,Equity,3451000.0,2.45,115.574,
Crores,SAMVARDHANA MOTHERSON INTERNATIONAL LTD.,Consumer Discretionary,Equity,6800000.0,2.23,105.2844,
Crores,CASH / NET CURRENT ASSET,,Cash,0.0,2.13,100.0267,
Crores,BAJAJ FINANCE LTD.,Non-Banking Financial Company (NBFC),Equity,1070000.0,2.13,100.2055,
Crores,PRICOL LTD.,Consumer Discretionary,Equity,1930297.0,1.88,88.4752,
Crores,V-MART RETAIL LTD.,Consumer Discretionary,Equity,1027468.0,1.87,88.2492,
Crores,HCL TECHNOLOGIES LTD.,Information Technology,Equity,510000.0,1.87,88.1586,
Crores,ULTRATECH CEMENT LTD.,Materials,Equity,70000.0,1.8,84.651,
Crores,SUN PHARMACEUTICAL INDUSTRIES LTD.,Health Care,Equity,475000.0,1.69,79.5958,
Crores,CUMMINS INDIA LTD.,Industrials,Equity,230000.0,1.66,78.1862,
Crores,FEDERAL BANK LTD.,Financials,Equity,3600000.0,1.63,76.7232,
Crores,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,Financials,Equity,375000.0,1.62,76.5075,
Crores,SBI CARDS AND PAYMENT SERVICES LTD.,Non-Banking Financial Company (NBFC),Equity,787598.0,1.59,75.066,
Crores,GRAVITA INDIA LTD.,Materials,Equity,391273.0,1.56,73.5867,
Crores,CITY UNION BANK LTD.,Financials,Equity,3300000.0,1.53,72.1743,
Crores,UTI ASSET MANAGEMENT COMPANY LTD.,Finance - Mutual Funds,Equity,505000.0,1.38,65.1854,
Crores,HINDALCO INDUSTRIES LTD.,Materials,Equity,900000.0,1.32,62.3565,
Crores,PI INDUSTRIES LTD.,Materials,Equity,150000.0,1.31,61.5705,
Crores,CIPLA LTD.,Health Care,Equity,400000.0,1.28,60.236,
Crores,BHARAT ELECTRONICS LTD.,Information Technology,Equity,1425000.0,1.27,60.0638,
Crores,BRIGADE ENTERPRISES LTD.,Real Estate,Equity,526000.0,1.24,58.3755,
